created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 02 10:34:00 +0000 2023;1730898102322917404;"Terima kasih Pak Ganjar atas perhatian dan dedikasinya untuk menciptakan sistem pendidikan yang lebih relevan dengan kebutuhan zaman. Langkah yang sangat diapresiasi! @mrkxloser  GPMMD 4Ende https://t.co/YOOSxcygVi";0;0;0;0;in;1688426727343796224;1730898102322917404;AlmaFahiira;https://twitter.com/AlmaFahiira/status/1730898102322917404
Sat Dec 02 10:33:58 +0000 2023;1730898091178660270;"@MenunggumuSenja @trobbyaf @tahukecap69 @xandreanda @txtdrimedia Gue gak ngedukung anis dan ganjar, tp masih milih gibran kayaknya emang gak masuk akal";0;0;0;0;in;1581213587791843330;1730819331267993640;kotahujansore;https://twitter.com/kotahujansore/status/1730898091178660270
Sat Dec 02 10:33:57 +0000 2023;1730898087416414468;"Ganjar Pranowo mengklaim dirinya dan pendampingnya, Mahfud MD adalah pasangan komplit untuk memberantas praktik korupsi, kolusi, dan nepotisme (KKN).  Hal itu disampaikan saat berkampanye di Kupang, Nusa Tenggara Timur (NTT), Jumat (1/12/2023).  #SahabatGanjar #GanjarMahfud2024 https://t.co/Gdp4gA5dNY";0;0;0;0;in;800015601527754753;1730898087416414468;wu223r20n3;https://twitter.com/wu223r20n3/status/1730898087416414468
Sat Dec 02 10:33:56 +0000 2023;1730898086065750351;"Sukses selalu untuk Pak Ganjar dan Pak Mahfud MD dalam mewujudkan impian memajukan destinasi wisata. Semoga langkah ini membawa kebahagiaan bagi masyarakat lokal. @RRakabitor  GPMMD 4Ende https://t.co/ARgJqGtC3W";0;0;0;0;in;1691016361299087361;1730898086065750351;dianpratammma;https://twitter.com/dianpratammma/status/1730898086065750351
Sat Dec 02 10:33:46 +0000 2023;1730898040553402586;"Kampanye di Kupang, Ganjar: Jejak Sejarah dan Keanekaragaman Etnis https://t.co/WEk2hNbsMa";0;0;0;0;in;514077206;1730898040553402586;aepsabdullah;https://twitter.com/aepsabdullah/status/1730898040553402586
Sat Dec 02 10:33:42 +0000 2023;1730898025894338705;"Inspira Park Kawasan hunian strategis di tengah kota Malang, hanya 2 menit ke alun-alun tugu kota Malang Info: Alreza (https://t.co/yRDxyRQRZy)  Jokowi gibran prabowo ganjar mahfud anies cak imin amin palestina israel gaza ronaldo cr7 tottenham sabtu minggu pagi #MonzaJuve #MMA https://t.co/YshdS8fqZg";0;0;0;0;in;1456542557165424640;1730898025894338705;klikpropertimlg;https://twitter.com/klikpropertimlg/status/1730898025894338705
Sat Dec 02 10:33:39 +0000 2023;1730898011524567282;"@G03NT03R_ @ganjarpranowo @mohmahfudmd Tenang bro......capres Ganjar udh membahas dan menjaga yg akan beribadah semua agama.";0;0;1;1;in;1452508101505028098;1730873103461634178;EviDrajat;https://twitter.com/EviDrajat/status/1730898011524567282
Sat Dec 02 10:33:37 +0000 2023;1730898006101406158;"Pine Village Malang Hunian strategis di jalan poros alternatif Malang Batu (SHM Split) Info: Alreza (0851-012-99050)  Tottenham israel palestina yahudi hamas gaza e-KTP jokowi gibran prabowo ganjar mahfud anies muhaimin cak imin amin pagii sabtu minggu #AnimalTheMovie #MonzaJuve https://t.co/fsFuI1qp1A";0;0;0;0;in;1456542557165424640;1730898006101406158;klikpropertimlg;https://twitter.com/klikpropertimlg/status/1730898006101406158
Sat Dec 02 10:33:35 +0000 2023;1730897997301768232;"@hansssolo Selalu dukung Ganjar Mahfud yang kreatif dalam membantu rakyat dengan menghadirkan inovasi keren untuk maju,  Ganjar Mahfud Cr3ative";0;0;0;0;in;1616631348042829824;1730830703221506199;Migoreng_396;https://twitter.com/Migoreng_396/status/1730897997301768232
Sat Dec 02 10:33:31 +0000 2023;1730897981002620989;"@ganjarpranowo Teruslah semangat pak masyarakat membutuhkan sosok pak ganjar untuk kemajuan yang lebih baik";0;0;0;0;in;1689490958893903872;1730825211342405780;FitryahF62740;https://twitter.com/FitryahF62740/status/1730897981002620989
Sat Dec 02 10:33:29 +0000 2023;1730897970143588533;"Berada di ujung barat dan timur Indonesia, Ganjar-Mahfud menggambarkan sila ketiga dan komitmen keduanya untuk membangun Indonesia dalam kebersatuan.  Ganjar-Mahfud pilihan kita untuk persatuan Indonesia. Karena hanya dengan bersatu kita bisa membangun Indonesia yang lebih baik. https://t.co/Impp81l4sp";0;0;0;0;in;1688495185058213888;1730897970143588533;GPGerakCepat;https://twitter.com/GPGerakCepat/status/1730897970143588533
Sat Dec 02 10:33:29 +0000 2023;1730897969283748042;"@idrisbue ga usah lo buat framing negatif, faktanya ganjar tdk terlibat korupsi E KTP ini menurut KPK...hah ganjar masuk penjara? lo kali yg bakal kesana";0;0;0;1;in;1706336640204193792;1730768664201486386;Brosist2045;https://twitter.com/Brosist2045/status/1730897969283748042
Sat Dec 02 10:33:15 +0000 2023;1730897913273045320;"Polemik Debat Cawapres, TPN Ganjar-Mahfud Tuding KPU Tak Netral https://t.co/VvtV52ELzk";0;0;0;2;in;39074801;1730897913273045320;TPNGanjarMahfud;https://twitter.com/TPNGanjarMahfud/status/1730897913273045320
